"FMINT";"Freigegenstand MINT";;;;;;;;;;;;"L2";1.10500;;;;;;"M2";;
"FMT";"Freifach Microsoft Technology";;;"F";;;;;;;;;"L1";1.16700;;;;;;"NWT1";;
"FOEKUE";"Freifach Environmental Education";;;;;;;;;;;;"L3";1.05000;;;;;;"OEKUE_3";;
"FPMG";"Freifach Prototypenbau Medizinische Geräte";;;;;;;;;;;;"L1";1.16700;;;;;;"MGT";;
"FPOS";"Freigegenstand POS Coding Contest";;;;;;;;;;;;"L1";1.16700;;;;;;"POS1";;
"FPRE";"Freifach Vorbereitung zur Projektmanagementzertifizierung";;;"F";;;;;;;;;"L1";1.16700;;;;;;"PMA";;
"FPSY";"Freigegenstand Psychologie";;;;;;;;;;;;"L3";1.05000;;;;;;"PSY";;
"FRAP";"Freifach Raspberry Projekte";;;"F";;;;;;;;;"L1";1.16700;;;;;;"NWT1";;
"FSM";"Fachspezifische Mathematik";;;;;;;;;;;;"L1";1.16700;;;0;15823557;;"AM";;
"FTHE3";"Freifach Theater";;;"F";;;;;;;;;"L3";1.05000;;;;;;"SOPK";;
"FWD";"Freigegenstand Web Development";;;;;;;;;;;;"L1";1.16700;;;;;;"PMA";;
"FWEK";"Freigegenstand Modellieren mit Ton";;;;;;;;;;;;"L3";1.05000;;;;;;"WEK";;
"FWING";"Freifach Wing Future 4.0";;;"F";;;;;;;;;"L1";1.16700;;;;;;"PMA";;
"FZD";"Freifach Zweitsprache Deutsch";;;;;;;;;;;;"L1";1.16700;;;;;;"ZD";;
"GAD";"Wahlpflichtgegenstand Game Development";;;;;;;;;;;;"L1";1.16700;;;;;;"MTGI";;
"GGP";"Geographie, Geschichte und politische Bildung";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"GGPB";"Geografie, Geschichte und pol. Bildung";;;;;;;;;;;;"L3";1.05000;;;;;;"GPB";;
"GINF";"GRUNDLAGEN DER INF";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"GOM2";"Organisation im Gesundheitswesen";;;;;;;;;;;;"L2";1.10500;;;;;;"WIR_2";;
"GOM3";"Gesundheitsökonomie und Management";;;;;;;;;;;;"L3";1.05000;;;;;;"WIR_3";;
"GUG";"Geschichte und Geographie";;;;;;;;;;;;"L3";1.05000;;;;;;"GUG";;
"ILB";"Individuelle Lernbegleitung";;;;;;;;;;;;"L99";1.00000;;;;;;;;
"INF1x";"Informatik und Informationssysteme";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"INF1";;
"INF1y";"Informatik und Informationssysteme";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"INF1";;
"INF1z";"Informatik und Informationssysteme";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"INF1";;
"INFIx";"Informatik und Informationssysteme X-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"INF1";;
"INFIy";"Informatik und Informationssysteme Y-Grppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"INF1";;
"INSI_1";"Informatinssysteme und IT-Sicherheit";;;;;;;;;;;;"L1";1.16700;;;;;;;;
