"3DHIF";"HL f. Informatik";;"C3.10";;;;;;;;;;"11";"6";;0;28;"8738";;;"Jelinek";;;;;;1.00000;;"DOM";;0;
"3EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C4.07";;;;;;;;;;"11";"6";;9;20;"8738";;;"Jelinek";;;;;;1.00000;;"SAC";;0;
"4AHIF";"HL f. Informatik";;"C4.08";;;;;;;;;;"12";"6";;8;22;"8738";;;"Jelinek";;;;;;1.00000;;"SWA";;0;
"4BHIF";"HL f. Informatik";;"C4.09";;;;;;;;;;"12";"6";;0;29;"8738";;;"Jelinek";;;;;;1.00000;;"HOV";;0;
"4CHIF";"HL f. Informatik";;"C4.10";;;;;;;;;;"12";"6";;0;30;"8738";;;"Jelinek";;;;;;1.00000;;"MIP";;0;
"4EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C4.06";;;;;;;;;;"12";"6";;2;21;"8738";;;"Jelinek";;;;;;1.00000;;"SK";;0;
"5AHIF";"HL f. Informatik";;"C1.07";;;;;;;;;;"13";"6";;5;24;"8738";;"20220501";"Jelinek";;;;;;1.00000;;"GC";;0;
"5BHIF";"HL f. Informatik";;"C1.10";;;;;;;;;;"13";"6";;0;30;"8738";;"20220501";"Jelinek";;;;;;1.00000;;"BES";;0;
"5CHIF";"HL f. Informatik";;"C1.14";;;;;;;;;;"13";"6";;0;30;"8738";;"20220501";"Jelinek";;;;;;1.00000;;"LEV";;0;
"5EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"WAKL";;;;;;;;;;"13";"6";;2;25;"8738";;"20220501";"Jelinek";;;;;;1.00000;;"LAD";;0;
"1AVIF";"Vorbereitungslehrgang f. Informatik - Abend";"A";"C4.14";;;;;;;;;;"41";"7w";"1000";5;25;"3586";;"20220213";"Steinwender";;;;;;1.00000;;"PUA";"C4.14";0;
"1BVIF";"Vorbereitungslehrgang f. Informatik - Abend";"A";"C3.14";;;;;;;;;;"41";"7w";"1000";4;21;"3586";;"20220213";"Steinwender";;;;;;1.00000;;"KOL";"C3.14";0;
"1CVIF";"Vorbereitungslehrgang f. Informatik";"A";"C2.14";;;;;;;;;;"41";"7w";"1000";7;16;"3586";;"20220213";"Steinwender";;;;;;1.00000;;"SPE";"C2.14";0;
"1DVIF";"Vorbereitungslehrgang f. Informatik";"A";"B5.09";;;;;;;;;;"41";"7w";"1000";2;24;"3586";;"20220213";"Steinwender";;;;;;1.00000;;"SWA";"B5.09";0;
"1EVIF";"Vorbereitungslehrgang f. Informatik";"A";"C5.10";;;;;;;;;;"41";"7w";"1000";6;20;"3586";;"20220213";"Steinwender";;;;;;1.00000;;"EDJ";"A1.06";0;
"2ABIF";"Aufbaulehrgang f. Informatik - Abend";;"C4.14";;;;;;;;;;"51";"7s";"1222";2;24;"8168";"20220214";;"Steinwender";;;;;;1.22200;;"PUA";"C3.10";0;
"3ABIF";"Aufbaulehrgang f. Informatik - Abend";"A";"B5.12";;;;;;;;;;"51";"7w";"1000";3;13;"8168";;"20220213";"Steinwender";;;;;;1.00000;;"HAS";"C4.11";0;
"3ACIF";"Kolleg f. Informatik - Abend";"A";"C2.07";;;;;;;;;;"21";"7w";"1000";16;17;"8244";;"20220213";"Steinwender";;;;;;1.00000;;"GT";"C5.07";0;
"4ABIF";"Aufbaulehrgang f. Informatik - Abend";;"B5.12";;;;;;;;;;"52";"7s";"1222";3;13;"8168";"20220214";;"Steinwender";;;;;;1.22200;;"HAS";"C4.11";0;
"4ACIF";"Kolleg f. Informatik - Abend";;"C2.07";;;;;;;;;;"22";"7s";"1222";16;17;"8244";"20220214";;"Steinwender";;;;;;1.22200;;"GT";"C5.07";0;
"5ABIF";"Aufbaulehrgang f. Informatik - Abend";"A";"B5.13";;;;;;;;;;"52";"7w";"1000";2;14;"8168";;"20220213";"Steinwender";;;;;;1.00000;;"SW";"C3.07";0;
"5ACIF";"Kolleg f. Informatik - Abend";"A";"B5.08";"Kk";;;;;;;;;"23";"7w";"1000";5;15;"8244";;"20220213";"Steinwender";;;;;;1.00000;;"ENU";"C5.09";0;
"6ABIF";"Aufbaulehrgang f. Informatik - Abend";;"B5.13";;;;;;;;;;"53";"7s";"1222";2;14;"8168";"20220214";;"Steinwender";;;;;;1.22200;;"SW";"C3.07";0;
