144;"6AKKUI";"POD";"DAT";"A2.04";5;2;;
144;"6AKKUI";"POD";"DAT";"A2.04";5;3;;
144;"6AKKUI";"POD";"DAT";"A2.04";5;4;;
144;"6AKKUI";"VUV";"DAT";"A2.04";5;1;;
144;"6AKKUI";"VUV";"DAT";"A2.04";5;2;;
144;"6AKKUI";"VUV";"DAT";"A2.04";5;3;;
144;"6AKKUI";"VUV";"DAT";"A2.04";5;4;;
145;"5ACMNA";"BIN";"MPAN";"A3.19";1;15;;
145;"5ACMNA";"BIN";"MPAN";"A3.19";1;16;;
145;"5ACMNA";"TRM";"MPAN";"A3.19";1;15;;
145;"5ACMNA";"TRM";"MPAN";"A3.19";1;16;;
147;"3AHMNA";"SL";"E1y";"A2.06";4;4;;
147;"3AHMNA";"SL";"E1y";"A3.05";5;2;;
147;"3AHMNA";"MUE";"E1x";"A3.12";4;4;;
147;"3AHMNA";"MUE";"E1x";"A3.12";5;2;;
238;"3BHIF";"DOM";"NVS1x";"B3.11NW";5;7;;
238;"3BHIF";"DOM";"NVS1x";"B3.11NW";5;8;;
238;"3BHIF";"ZEP";"NVS1y";"B3.12NW";5;7;;
238;"3BHIF";"ZEP";"NVS1y";"B3.12NW";5;8;;
4288;"3BHIF";"WK";"POS1";"C5.10";4;4;;
4288;"3BHIF";"WK";"POS1";"C1.07";5;6;;
240;"1AFITN";"TK";"SOPK";"C2.14";2;2;;
240;"1AFITN";"CSR";"SOPK";"C2.14";2;2;;
241;"1BVIF";"RUC";"GINF";"B3.08MF";3;11;;
241;"1BVIF";"RUC";"GINF";"B3.08MF";3;12;;
4148;"3ABIF";"CHA";"POS1";"C2.08";2;15;;
4148;"3ABIF";"CHA";"POS1";"C2.08";2;16;;
249;"3ABIF";"EN";"TINF_1";"C2.14";3;12;;
249;"3ABIF";"EN";"TINF_1";"C2.14";3;13;;
250;"3ABIF";"SAB";"COPR";"B2.09HW";3;14;;
250;"3ABIF";"SAB";"COPR";"B2.09HW";3;15;;
250;"3ABIF";"SAB";"COPR";"B2.09HW";3;16;;
250;"3ABIF";"RUC";"COPR";"B2.10HW";3;14;;
250;"3ABIF";"RUC";"COPR";"B2.10HW";3;15;;
250;"3ABIF";"RUC";"COPR";"B2.10HW";3;16;;
250;"3ABIF";"SPE";"COPR";"B2.11HW";3;14;;
250;"3ABIF";"SPE";"COPR";"B2.11HW";3;15;;
250;"3ABIF";"SPE";"COPR";"B2.11HW";3;16;;
251;"3ABIF";"GT";"POS1";"B5.12";1;15;;
251;"3ABIF";"GT";"POS1";"B5.12";1;16;;
251;"3ABIF";"GRG";"POS1";"B5.12";1;15;;
251;"3ABIF";"GRG";"POS1";"B5.12";1;16;;
253;"3ABIF";"MIP";"DBI1";"C2.08";2;13;;
253;"3ABIF";"MIP";"DBI1";"C2.08";2;14;;
253;"3ABIF";"NAH";"DBI1";"C2.08";2;13;;
253;"3ABIF";"NAH";"DBI1";"C2.08";2;14;;
254;"3ABIF";"BEP";"BWM";"C1.14";1;13;;
254;"3ABIF";"BEP";"BWM";"C1.14";1;14;;
264;"3ACIF";"PRR";"COPR";"B1.15HW";1;11;;
264;"3ACIF";"PRR";"COPR";"B1.15HW";1;12;;
264;"3ACIF";"PRR";"COPR";"B1.15HW";1;13;;
264;"3ACIF";"PRR";"COPR";"B1.15HW";1;14;;
264;"3ACIF";"PRR";"COPR";"B1.15HW";1;15;;
264;"3ACIF";"SUN";"COPR";"B3.06MF";1;11;;
264;"3ACIF";"SUN";"COPR";"B3.06MF";1;12;;
264;"3ACIF";"SUN";"COPR";"B3.06MF";1;13;;
264;"3ACIF";"SUN";"COPR";"B3.06MF";1;14;;
264;"3ACIF";"SUN";"COPR";"B3.06MF";1;15;;
264;"3ACIF";"DRS";"COPR";"B2.10HW";1;11;;
264;"3ACIF";"DRS";"COPR";"B2.10HW";1;12;;
264;"3ACIF";"DRS";"COPR";"B2.10HW";1;13;;
264;"3ACIF";"DRS";"COPR";"B2.10HW";1;14;;
264;"3ACIF";"DRS";"COPR";"B2.10HW";1;15;;
266;"3ACIF";"MIP";"DBI1";"C1.13";3;13;;
266;"3ACIF";"MIP";"DBI1";"C1.13";3;14;;
266;"3ACIF";"NAH";"DBI1";;3;13;;
266;"3ACIF";"NAH";"DBI1";;3;14;;
267;"3ACIF";"GT";"POS1";"C1.13";4;11;;
267;"3ACIF";"GT";"POS1";"C1.13";4;12;;
267;"3ACIF";"GRG";"POS1";"B4.17MF";4;11;;
267;"3ACIF";"GRG";"POS1";"B4.17MF";4;12;;
268;"3ACIF";"HB";"TINF_1";"C1.13";2;12;;
268;"3ACIF";"HB";"TINF_1";"C1.13";2;13;;
268;"3ACIF";"HB";"TINF_1";"C1.13";2;14;;
268;"3ACIF";"DRS";"TINF_1";"C1.13";2;12;;
